Aa en Hunze,25390
Aalburg,13153
Aalsmeer,31499
Aalten,26962
Ter Aar,
Aarle-Rixtel,
Abcoude,
Achtkarspelen,27935
Akersloot,
Alblasserdam,20014
Albrandswaard,25218
Alkemade,
Alkmaar,108470
Almelo,72629
Almere,203990
Alphen aan den Rijn,109682
Alphen en Riel,
Alphen-Chaam,10083
Ambt Delden,
Ambt Montfort,
Ameland,3654
Amerongen,
Amersfoort,155226
Ammerzoden,
Amstelveen,89870
Amsterdam,854047
Andijk,
Angerlo,
Anloo,
Anna Paulowna,
Apeldoorn,161156
Appingedam,11801
Arcen en Velden,
Arnemuiden,
Arnhem,157223
Assen,67708
Asten,16719
Avereest,
Axel,
Baarle-Nassau,6799
Baarn,24630
Bakel en Milheeze,
Barendrecht,48477
Barneveld,57339
Bathmen,
Bedum,10475
Beek (L.),15895
Beek en Donk,
Beemster,9550
Beesel,13444
Beilen,
Belfeld,
Bellingwedde,
Bemmel,
Bennebroek,
Berg en Dal,34748
Bergambacht,
Bergeijk,18398
Bergen (L.),13106
Bergen (NH.),29941
Bergen op Zoom,66354
Bergeyk,
Bergh,
Bergschenhoek,
Berkel en Rodenrijs,
Berkel-Enschot,
Berkelland,44032
Berlicum,
Bernheze,30550
Bernisse,
Best,29497
Beuningen,25798
Beverwijk,41077
het Bildt,
De Bilt,42846
Binnenmaas,29098
Bladel,20144
Bladel en Netersel,
Blaricum,10795
Bleiswijk,
Bloemendaal,23208
Boarnsterhim,
Bodegraven,
Bodegraven-Reeuwijk,33948
Boekel,10502
Ten Boer,7292
Bolsward,
Borculo,
Borger,
Borger-Odoorn,25351
Born,
Borne,23124
Borsele,22716
Boskoop,
Boxmeer,28853
Boxtel,30672
Brakel,
Breda,183448
Brederwiede,
Breukelen,
Brielle,17040
Broekhuizen,
Bronckhorst,36352
Brouwershaven,
Bruinisse,
Brummen,20771
Brunssum,28241
Budel,
Bunnik,15214
Bunschoten,21266
Buren,26365
Bussum,
Capelle aan den IJssel,66854
Castricum,35608
Chaam,
Coevorden,35299
Cothen,
Cranendonck,20336
Cromstrijen,12826
Cuijk,24911
Culemborg,28195
Dalen,
Dalfsen,28242
Dantumadeel,
Dantumadiel,18904
Delft,102253
Delfzijl,24863
Denekamp,
Deurne,32137
Deventer,99653
Didam,
Diemen,28121
Diepenheim,
Diepenveen,
Diessen,
Diever,
Dinkelland,26291
Dinteloord en Prinsenland,
Dinxperlo,
Dirksland,
Dodewaard,
Doesburg,11328
Doetinchem,57382
Domburg,
Dongen,25777
Dongeradeel,23789
Doorn,
Dordrecht,118426
Drechterland,19440
Driebergen-Rijsenburg,
Drimmelen,27063
Dronten,40735
Drunen,
Druten,18701
Duiveland,
Duiven,25438
Den Dungen,
Dussen,
Dwingeloo,
Echt,
Echteld,
Echt-Susteren,31751
Edam-Volendam,35953
Ede,114682
Eelde,
Eemnes,9112
Eemsmond,15553
Eersel,18778
Egmond,
Eibergen,
Eijsden,
Eijsden-Margraten,25566
Eindhoven,229126
Elburg,23107
Elst,
Emmen,107192
Enkhuizen,18476
Enschede,158261
Epe,32863
Ermelo,26793
Esch,
Etten-Leur,43532
Ferwerderadeel,
Ferwerderadiel,8671
Fijnaart en Heijningen,
Franekeradeel,
De Friese Meren,
De Fryske Marren,51742
Gaasterlân-Sleat,
Gasselte,
Geertruidenberg,21517
Geldermalsen,26818
Geldrop,
Geldrop-Mierlo,39252
Geleen,
Gemert,
Gemert-Bakel,30340
Gendringen,
Gendt,
